Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,,,
Andorra,AND,,,,,,,,,,,78617623,89406588,113414399,150841573,186557164,220112880,227284061,253998001,308020289,411548366,446377571,388982990,375914807,327849981,330073057,346742876,481996191,611300147,721425972,795489464,1028989394,1106891025,1209992650,1007090915,1017544675,1178745314,1224023416,1180646068,1211953954,1239840270,1401694156,1484004617,1717563533,2373836214,2916913449,3248134607,3536451646,4010785102,4001349340,3649863493,3346317329,3427235709,3146177741,3249100667,,,
Afghanistan,AFG,537777812,548888895,546666678,751111191,800000046,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,,,,,,,,,,,,,,,,,,,,2461666315,4128818042,4583648922,5285461999,6275076016,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20046334304,20050189882,19199437989,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,6684491979,6684491979,6684491979,6684491979,10026737968,10027408249,14519495448,10341398740,10112148362,10420902294,4967585282,7526963964,7649716157,6445427699,6152936539,9129634978,8936063723,12497346670,14188949191,19640848729,28233712831,41789478661,60448921272,84178032716,75492384801,82470913121,104115923083,115398371428,124912063308,126775134686,102643104696,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,1924242453,1965384586,2173750013,2156624900,2126000000,2335124988,2101624963,1139166646,709452584,1228071038,1985673798,2424499009,3314898291,2359903108,2707123772,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12781029644,13277963807,11455595709,
Arab World,ARB,,,,,,,,,25525963540,28175766605,31091490933,36107209879,42969314677,54590148349,104601565868,115668943586,144014995226,166278566910,183842270086,248051993594,338154224616,348064462477,324198990087,304018148186,308080382905,303808264266,289060552383,312924995029,307455988697,322191094714,446018089283,438879890753,470374932070,475691605225,486672329979,522868447817,577307828894,612303672088,590514115115,643134938257,733948100679,722150596686,727993853983,821870171005,963918019743,1184734704133,1404189584203,1641666468060,2081342637384,1798878411325,2103824906396,2497944765462,2773269952553,2846994251978,2873599811405,2530101503617,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,14720672892,19213022856,24871774866,23775831263,31225462774,43598747467,49333424084,46622718557,42803323301,41807954192,40603650189,33943612060,36384908706,36275674166,41464995871,50701443696,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104337372362,103311640572,109816201498,124346358067,147824370320,180617018380,222105922396,257916133424,315474615739,253547358747,286049336038,348526072158,373429543907,387192103472,399451327434,370292716133,
Argentina,ARG,,,24450605472,18272123537,25605249377,28344706576,28630475205,24256666500,26436856814,31256284031,31584209518,33293199540,34733000398,52544000413,72436777751,52438648327,51169499979,56781000097,58082870162,69252328959,76961923741,78676842368,84307486838,103979106778,79092001998,88416668900,110934442763,111106191358,126206817196,76636898036,141352368715,189719984268,228788617202,236741715015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004252,127586973492,164657930461,199495534688,233581686065,288833322724,363137495040,334490355492,425916078732,533200293250,548934618736,554155198994,529726189461,583168571071,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11644438423,10561401185,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
